7:29,224,1023,331,899,70405,302,2734,21911,2108£¬
29668:17,302,654,76,616,58,8,866,84,29,
29700:17,302,654,76,616,58,8,866,84,29,
29701:17,302,654,76,616,58,8,866,84,29,
29708:75771,17,138,311,1535,1451,4224,302,29900,1446,
29724:118388,8084,31445,2822,50605,82972,74446,714,58470,508,
29725:76,7454,12545,20680,6545,93881,75809,64511,4498,34204,
29763:2200,27192,41114,38526,18772,57414,85530,87359,25771,88136,
29777:17,302,654,76,616,58,8,866,84,29,
29781:463,901,7544,168,2103,6063,2642,9752,83670,8042,
29786:2139,5465,8384,48486,29159,482,4195,10205,26496,802,
29825:17,302,654,76,616,58,8,866,84,29,
29837:17,302,327,38004,44949,654,7334,84,9594,17,
29853:880,15947,7608,54181,98723,63984,100848,9655,8747,78882,
29864:361,736,17,302,654,76,616,58,8,866,
29869:10120,109738,2097,211,27627,32108,45021,7140,7997,87046,
29873:17,302,654,76,616,58,8,866,84,29,
29882:17,302,654,76,616,58,8,866,84,29,
29885:106557,114503,115906,13060,17582,18471,22527,34120,43542,46138,
29892:62259,12720,533,947,2510,901,75477,7011,4647,41140,
29898:17,302,654,76,616,58,8,866,84,29,
29914:17,302,654,76,616,58,8,866,84,29,
29921:361,866,17,302,654,76,616,58,8,866,
29922:17,302,654,76,616,58,8,866,84,29,
29923:17,11392,114757,32435,4686,84559,96394,224,568,6,
29930:17,302,654,76,616,58,8,866,84,29,
29943:26531,15204,106056,56568,98227,82671,39756,20449,2509,8583,
29956:17,302,654,76,616,58,8,866,84,29,
29968:32106,14993,110137,39003,6901,91897,19648,4023,11543,15111,
29972:74861,30,17,1957,22695,29,138,12268,12223,36785,
29993:17,302,654,76,616,58,8,866,84,29,
30054:17,302,654,76,616,58,8,866,84,29,
30064:162,58,322,891,1578,554,5575,4106,1561,70,
30071:17,302,654,76,616,58,8,866,84,29,
30085:17,302,654,76,616,58,8,866,84,29,
30088:12150,15,2162,249,9151,2140,87036,17,302,654,
30094:17,302,654,76,616,58,8,866,84,29,
30100:17,302,654,76,616,58,8,866,84,29,
30111:17,302,654,76,616,58,8,866,84,29,
30151:77977,8161,38292,75140,49860,89699,32261,36743,39446,216,
30164:66125,22351,14514,22079,8691,118688,77174,79775,67774,92198,
30189:17,302,654,76,616,58,8,866,84,29,
30212:67498,17,302,654,76,616,58,8,866,84,
30219:86887,9054,2510,4341,17,302,654,76,616,58,
30227:34700,119968,9916,1618,36175,96,42441,654,518,76,
30247:522,114189,3789,31148,1569,4253,118299,379,90985,111753,
30264:17,100630,19320,2140,22,24296,2566,2626,3115,3163,
30282:17,302,654,76,616,58,8,866,84,29,
30288:1889,15069,20572,29661,33604,34445,35870,36886,41996,53386,
30290:17,302,654,76,616,58,8,866,84,29,
30304:17,302,654,76,616,58,8,866,84,29,
30309:107167,32934,59061,17,302,654,76,616,58,8,
30312:1197,74608,17,302,654,76,616,58,8,866,
30328:87915,70853,13108,4937,53187,11015,46776,7334,327,54466,
30335:17,302,654,76,616,58,8,866,84,29,
30354:88045,70169,6400,598,85639,709,1359,3433,32278,27647,
30375:17,518,354,226,861,650,224,6503,76,16895,
30392:1245,94122,78528,302,56885,8232,2457,90354,1102,26834,
30396:58,6,301,788,899,917,17,302,654,76,
30399:40570,42073,17,302,654,76,616,58,8,866,
30401:17,5048,965,123075,19733,2582,2626,4779,9313,61362,
30417:15,39246,953,581,6143,1822,285,656,4262,650,
30453:17,302,654,76,616,58,8,866,84,29,
30481:17,302,654,76,616,58,8,866,84,29,
30482:17,302,654,76,616,58,8,866,84,29,
30487:17,302,654,76,616,58,8,866,84,29,
30527:17,302,654,76,616,58,8,866,84,29,
30543:31490,3870,4017,4123,48,4880,5312,564,6136,61410,
30582:17,302,654,76,616,58,8,866,84,29,
30610:17,302,654,76,616,58,8,866,84,29,
30617:4171,4203,4210,422,4251,4268,42888,430,4333,45309,
30621:17,302,654,76,616,58,8,866,84,29,
30622:1617,12597,93408,48197,121818,43327,17,302,654,76,
30626:10099,103775,107777,110104,122762,15906,21607,22303,28693,31422,
30647:6906,20416,120,42870,9095,17,302,654,76,616,
30670:354,17,302,654,76,616,58,8,866,84,
30694:5671,741,22420,13581,29000,17,302,654,76,616,
30698:17,302,654,76,616,58,8,866,84,29,
30701:17,302,654,76,616,58,8,866,84,29,
30712:17,302,654,76,616,58,8,866,84,29,
30721:107155,12059,15143,99516,17,302,654,76,616,58,
30738:106166,10792,1385,25495,318,441,48697,5150,6172,7158,
30739:30779,13088,73708,121179,81,2967,7422,76,75886,7544,
30764:13704,60158,1476,58,17,302,654,76,616,58,
30767:105750,109137,22128,2548,53749,84238,17,302,654,76,
30825:262,17,302,654,76,616,58,8,866,84,
30840:17,27002,3297,33326,6874,953,97216,17,302,654,
30854:17,302,654,76,616,58,8,866,84,29,
30874:112493,3071,82205,87527,105349,110422,110827,11855,120517,1468,
30876:17708,22891,75852,1326,352,3376,26488,8700,39935,206,
30886:102624,30598,39438,88114,93908,30754,448,73453,20416,23823,
30887:113749,5567,17,302,1287,84249,2970,1245,46242,4513,
30901:17,302,654,76,616,58,8,866,84,29,
30902:13203,18114,40010,11396,6614,4363,20911,32352,3448,16911,
30906:17145,19489,30439,9354,17,302,654,76,616,58,
30921:82018,68947,50463,24032,1104,54872,21,21626,22975,81748,
30927:17,302,654,76,616,58,8,866,84,29,
30934:616,79544,17,302,654,76,616,58,8,866,
30937:12230,95431,57611,44323,48431,3095,1651,6901,698,75249,
30958:3976,40935,4148,4194,4268,429,43573,4422,4542,4669,
30982:83110,33504,35355,69909,986,51863,508,50352,52930,82466,
30984:114600,16405,88637,17,302,654,76,616,58,8,
30989:17,302,654,76,616,58,8,866,84,29,
30990:17,302,654,76,616,58,8,866,84,29,
31000:17,302,654,76,616,58,8,866,84,29,
31001:17,564,39222,57712,80834,954,25719,654,76,17,
31004:52595,17,302,654,76,616,58,8,866,84,
31005:3841,113176,4621,96310,17,22192,285,3824,58582,82449,
31010:17,302,654,76,616,58,8,866,84,29,
31016:66557,17,302,654,76,616,58,8,866,84,
31023:856,12937,63130,6226,4364,2140,18872,18215,776,72834,
31034:17,302,654,76,616,58,8,866,84,29,
31096:9313,5956,2631,12435,1878,1772,4508,18293,3265,167,
31105:104237,106967,71028,94243,1851,62,17,302,654,76,
31113:17,302,654,76,616,58,8,866,84,29,
31118:17,302,654,76,616,58,8,866,84,29,
31130:4339,60950,6558,10451,13895,31037,3450,34690,6311,10137,
31151:10259,11089,399,45592,1996,29,358,56109,58,61,
31158:17,302,654,76,616,58,8,866,84,29,
31159:17,302,654,76,616,58,8,866,84,29,
31175:17,302,654,76,616,58,8,866,84,29,
31225:2988,3329,348,3771,39596,398,42965,47258,48,5078,
31236:17,302,654,76,616,58,8,866,84,29,
31239:17,302,654,76,616,58,8,866,84,29,
31267:32320,3824,84,65286,3549,1874,654,46106,22501,518,
31273:10923,120409,64949,17,302,654,76,616,58,8,
31274:17,302,654,76,616,58,8,866,84,29,
31275:289,518,654,8,2316,70,17,302,654,76,
31288:17,302,654,76,616,58,8,866,84,29,
31293:108003,16537,17869,18001,238,2998,378,42268,4774,7645,
31321:14237,79757,347,3112,33324,4810,30403,59340,1403,8226,
31345:98162,943,9346,93335,86821,859,8363,81,803,8,
31348:17,302,654,76,616,58,8,866,84,29,
31352:17,302,654,76,616,58,8,866,84,29,
31355:17,302,654,76,616,58,8,866,84,29,
31356:610,301,568,1690,245,22916,2233,6,600,612,
31371:102890,17,34011,4643,56576,59764,892,917,9909,17,
31386:17,302,654,76,616,58,8,866,84,29,
31405:17,302,654,76,616,58,8,866,84,29,
31445:17,302,654,76,616,58,8,866,84,29,
31462:17,302,654,76,616,58,8,866,84,29,
31475:46671,17,302,654,76,616,58,8,866,84,
31497:17,302,654,76,616,58,8,866,84,29,
31499:83943,11732,118150,12257,1730,21931,2582,27486,33901,64955,
31502:17,302,654,76,616,58,8,866,84,29,
31508:17,302,654,76,616,58,8,866,84,29,
31510:98118,95692,95444,66646,53526,42547,29327,2548,24983,21,
31541:15754,100800,31112,2624,97557,6506,77310,66665,5662,95719,
31545:1121,31670,68787,33447,59931,63166,68051,100082,104068,2680,
31551:17,302,654,76,616,58,8,866,84,29,
31563:10786,97,49755,40922,81242,68300,77538,2318,25486,17007,
31578:17,302,654,76,616,58,8,866,84,29,
31585:18850,5738,83814,68624,86461,698,5550,38736,34823,3081,
31597:16686,62870,47228,31748,80867,94594,20706,48932,64213,70125,
31639:17,302,654,76,616,58,8,866,84,29,
31644:44663,17,302,654,76,616,58,8,866,84,
31653:113329,3196,840,17,302,654,76,616,58,8,
31687:17,302,654,76,616,58,8,866,84,29,
31691:17,302,654,76,616,58,8,866,84,29,
31696:121654,52320,104129,109485,2021,44196,60576,63371,81079,17,
31744:17,11755,6159,654,79544,17,302,654,76,616,
31751:17,302,654,76,616,58,8,866,84,29,
31789:17,302,654,76,616,58,8,866,84,29,
31791:17,302,654,76,616,58,8,866,84,29,
31806:29030,14092,56198,5120,10819,65429,33160,62769,59585,112591,
31822:17,302,654,76,616,58,8,866,84,29,
31890:67614,72590,931,91515,85494,83615,76942,68909,61909,525,
31920:107669,6545,76,106631,13709,226,236,301,46649,508,
31926:44776,17,302,654,76,616,58,8,866,84,
31933:2265,17,302,654,76,616,58,8,866,84,
31937:49692,1549,2200,1955,861,42470,3304,131,891,486,
31947:17,302,654,76,616,58,8,866,84,29,
31955:60063,6,59684,59086,5889,5869,58442,58388,5747,57402,
31958:17,302,654,76,616,58,8,866,84,29,
31985:17,302,654,76,616,58,8,866,84,29,
32010:20035,11980,568,54357,2372,21204,30742,1803,32,37323,
32032:10615,16013,17,302,654,76,616,58,8,866,
32043:17,302,654,76,616,58,8,866,84,29,
32072:102107,105363,12837,28313,36688,50380,71645,73285,17,302,
32076:17,302,654,76,616,58,8,866,84,29,
32104:17,302,654,76,616,58,8,866,84,29,
32105:116,32926,64734,899,17,302,654,76,616,58,
32110:17,302,654,76,616,58,8,866,84,29,
32123:17,302,654,76,616,58,8,866,84,29,
32140:100111,110950,54075,3588,238,10041,1760,726,30613,30280,
32145:17,302,654,76,616,58,8,866,84,29,
32161:10267,1867,69896,55525,36350,2318,719,51380,14754,1528,
32165:17,302,654,76,616,58,8,866,84,29,
32180:47623,66694,57282,102720,27714,80187,116536,3789,35976,37247,
32185:44371,68182,17,302,654,76,616,58,8,866,
32189:17,302,654,76,616,58,8,866,84,29,
32191:77069,17,302,654,76,616,58,8,866,84,
32205:108498,1730,33210,3759,48165,84982,17,302,654,76,
32215:17,302,654,76,616,58,8,866,84,29,
32242:10526,3567,12606,18221,962,12859,24587,112365,112171,4442,
32250:17,302,654,76,616,58,8,866,84,29,
32251:17,302,654,76,616,58,8,866,84,29,
32256:17,302,654,76,616,58,8,866,84,29,
32286:17,302,654,76,616,58,8,866,84,29,
32291:17,302,654,76,616,58,8,866,84,29,
32300:17,72823,32881,1589,4091,103876,2953,209,30580,2240,
32329:120357,33350,58804,66509,76381,46609,21835,90842,17727,27673,
32338:17,302,654,76,616,58,8,866,84,29,
32355:17,302,654,76,616,58,8,866,84,29,
32356:2292,32616,6127,785,686,119665,80152,17,302,654,
32364:108871,123334,32747,4802,7122,1550,37032,17,302,654,
32379:17,302,654,76,616,58,8,866,84,29,
32409:17,302,654,76,616,58,8,866,84,29,
32422:50737,17,302,654,76,616,58,8,866,84,
32439:1937,302,542,58,8213,84,39808,54530,654,736,
32451:101652,1558,33651,61566,6963,2266,46452,17,302,654,
32477:56139,80803,17,302,654,76,616,58,8,866,
32493:5575,294,4008,966,898,7178,701,17,58,83061,
32495:17,302,654,76,616,58,8,866,84,29,
32533:6545,16340,6616,123024,13894,47041,86938,24517,7037,48384,
32546:17,302,654,76,616,58,8,866,84,29,
32565:1825,101609,2228,2942,85460,6397,63527,616,6057,5844,
32571:5407,422,51106,90009,7523,2813,101033,6693,44667,7894,
32580:4292,43198,43973,47232,49705,51214,53097,57912,70748,72727,
32583:17,302,654,76,616,58,8,866,84,29,
32584:17,302,654,76,616,58,8,866,84,29,
32624:110752,17,302,654,76,616,58,8,866,84,
32625:123176,71897,17,302,654,76,616,58,8,866,
32628:47232,4753,4755,4774,4825,4945,496,4961,4963,4991,
32641:60594,63742,17,302,654,76,616,58,8,866,
32647:17,302,654,76,616,58,8,866,84,29,
32656:30724,120840,41706,199,226,4702,48701,9770,17,302,
32667:17,302,654,76,616,58,8,866,84,29,
32675:921,54178,107702,111031,1899,21193,56455,62290,64343,75860,
32684:58,289,17,4174,2469,654,1804,101,11881,7270,
32701:108635,16960,17,302,654,76,616,58,8,866,
32707:17,302,654,76,616,58,8,866,84,29,
32715:13895,12951,14754,14790,20707,23824,29868,44086,5552,58935,
32751:6840,37121,76,108759,17396,4403,76494,17,302,654,
32773:18287,13051,120187,33254,54751,78104,100251,117956,1546,62387,
32776:3514,8694,4589,45742,74994,28866,20907,171,14928,12993,
32780:1091,44842,15287,46704,21005,10126,11584,79575,95594,2680,
32817:104353,108744,17381,225,27575,27597,33274,34687,3915,429,
32819:17,302,654,76,616,58,8,866,84,29,
32822:29003,3157,17,302,654,76,616,58,8,866,
32823:99682,96195,88399,77997,72233,69159,6670,65854,57114,51990,
32843:12329,14955,16568,62820,29004,20626,1002,53345,54758,65,
32871:11405,74382,15364,14832,75562,76,2955,15,289,650,
32879:44795,62330,429,398,80722,58304,2602,7703,74596,20161,
32893:17,302,654,76,616,58,8,866,84,29,
32902:17,302,654,76,616,58,8,866,84,29,
32917:1066,4174,4372,113471,54036,11145,92818,1166,508,15148,
32919:74360,17,302,654,76,616,58,8,866,84,
32921:385,805,11281,11401,39936,62840,100590,120518,33223,45975,
32936:96319,87021,83195,78848,75262,71609,71543,65976,5934,53982,
32953:17,302,654,76,616,58,8,866,84,29,
32955:12121,90121,17,302,654,76,616,58,8,866,
32977:17,302,654,76,616,58,8,866,84,29,
32978:17,1568,15809,8019,8216,65666,53216,5077,48602,115784,
32982:17,302,654,76,616,58,8,866,84,29,
32984:99986,441,802,7821,564,5292,347,2337,1682,5767,
32986:17,302,654,76,616,58,8,866,84,29,
32994:17,302,654,76,616,58,8,866,84,29,
33005:76594,11822,54763,61929,74280,76357,93336,2548,6916,76,
33043:17,302,654,76,616,58,8,866,84,29,
33045:302,68836,17,1762,6527,64870,61995,21286,2162,2193,
33108:104885,122135,352,35399,69983,719,17,302,654,76,
33135:49736,40,90833,905,8498,81,760,7556,71954,70,
33136:17,302,654,76,616,58,8,866,84,29,
33149:48,899,17,295,25,1539,736,3505,4420,6450,
33151:83110,33504,35355,69909,986,51863,508,50352,52930,82466,
33181:780,11099,1501,1888,986,17,302,654,76,616,
33201:17,302,654,76,616,58,8,866,84,29,
33206:17,302,654,76,616,58,8,866,84,29,
33207:17,302,654,76,616,58,8,866,84,29,
33225:117200,17,302,654,76,616,58,8,866,84,
33232:273,98968,116092,37710,18291,28536,26751,11803,302,17,
33258:17,302,654,76,616,58,8,866,84,29,
33261:17,302,654,76,616,58,8,866,84,29,
33268:4112,52770,17,302,654,76,616,58,8,866,
33316:17,302,654,76,616,58,8,866,84,29,
33346:17,2030,7210,10859,650,6,58,486,110743,116,
33352:1119,43236,48,60475,98938,3816,45082,6450,17,302,
33355:5363,4996,49458,66922,21822,17427,46905,17590,28879,16596,
33364:39826,11146,7779,787,17,1165,4967,24712,20204,73887,
33373:17,302,654,76,616,58,8,866,84,29,
33374:54167,96177,2345,429,25,33055,63121,92196,17,302,
33406:76,8218,2139,30317,15371,2778,30539,7684,66687,81303,
33409:1201,108822,121824,13683,17342,39828,48966,65522,18083,17,
33421:32294,8867,20043,4671,14259,9594,37012,7622,7334,22361,
33432:17,302,654,76,616,58,8,866,84,29,
33443:236,3731,6059,45,285,2919,4268,6496,39063,736,
33453:16034,63384,87670,17,302,654,76,616,58,8,
33454:61444,11637,104976,70038,36630,1608,25103,8731,76647,19434,
33491:13677,19087,52904,5538,70984,91492,26642,2904,17,302,
33525:46436,47466,53330,54894,54949,57258,62715,65099,68725,69391,
33527:17,302,654,76,616,58,8,866,84,29,
33528:51952,121326,17,76,1693,58360,7622,14058,14955,1539,
33539:2030,5604,4328,13523,1127,15,16227,754,17,32510,
33541:106214,49882,41506,760,10267,11898,93280,2337,1205,2153,
33547:17,302,654,76,616,58,8,866,84,29,
33554:17,302,654,76,616,58,8,866,84,29,
33557:19350,86058,86808,99983,103630,119751,82807,8619,17,302,
33561:22018,103264,80357,73498,83430,28594,83913,6381,32713,3506,
33582:2898,103141,30598,17,302,654,76,616,58,8,
33590:17,302,654,76,616,58,8,866,84,29,
33614:4933,495,4956,496,4967,4984,5000,50191,5025,50410,
33615:17,302,654,76,616,58,8,866,84,29,
33616:41065,7372,71201,45824,1539,3704,3509,353,2967,27974,
33621:53672,4117,17,302,654,76,616,58,8,866,
33652:17,302,654,76,616,58,8,866,84,29,
33701:73938,28839,115008,60741,84235,2946,19955,361,32467,72059,
33702:1604,13893,7941,39963,16330,76384,105302,38422,75664,62617,
33707:2967,731,101077,74493,2379,3423,96,1023,352,23317,
33721:13677,19087,52904,5538,70984,9537,26642,2904,17,302,
33722:6186,9914,88128,84200,8133,75592,75097,64599,57937,55973,
33737:17,302,654,76,616,58,8,866,84,29,
33752:17,302,654,76,616,58,8,866,84,29,
33783:4763,4798,481,48960,49558,49573,49587,49657,4967,50012,
33787:101208,2579,90193,120915,16217,2241,2967,3196,53934,7211,
33789:17,302,654,76,616,58,8,866,84,29,
33807:12118,9723,63711,30,11524,28400,8111,77032,34495,117724,
33808:2614,29288,3992,2139,76954,38231,53892,7844,18793,34432,
33809:1220,342,17,302,654,76,616,58,8,866,
33837:17,302,654,76,616,58,8,866,84,29,
33841:17,302,654,76,616,58,8,866,84,29,
33844:17,302,654,76,616,58,8,866,84,29,
33859:17,302,654,76,616,58,8,866,84,29,
33866:17,302,654,76,616,58,8,866,84,29,
33868:116416,16376,2200,3918,52139,57825,17,302,654,76,
33869:94067,107878,76114,53064,19708,70575,6002,53364,50020,28533,
33874:107757,24463,66277,94478,1567,17,717,953,1180,6704,
33884:14532,44227,4889,6224,84516,17,302,654,76,616,
33910:429,26344,24894,69735,2076,7067,1987,19789,1876,18741,
33921:17,302,654,76,616,58,8,866,84,29,
33988:17,302,654,76,616,58,8,866,84,29,
33998:17,52687,273,15716,14516,18291,116092,98968,7874,17270,
34022:17,302,654,76,616,58,8,866,84,29,
34027:225,15207,65648,36541,91690,69148,116263,26360,59746,76,
34041:931,409,22416,226,23951,2700,508,112666,27910,84698,
34048:5468,33217,34675,27819,37389,84004,68175,35908,104249,34003,
34054:17,302,654,76,616,58,8,866,84,29,
34068:875,1187,25921,6945,48,14370,71458,899,718,84,
34092:56697,1489,104766,10775,14504,224,27165,37146,48337,54479,
34093:99539,93840,8213,7869,70386,69957,673,58048,45652,4497,
34105:1754,77581,805,385,100590,16881,28511,3250,83173,92129,
34106:9354,8454,11973,2982,3307,49038,62451,6814,70607,81698,
34119:17,302,654,76,616,58,8,866,84,29,
34124:17,302,654,76,616,58,8,866,84,29,
34148:94605,17,302,654,76,616,58,8,866,84,
34172:429,263,5523,47321,3911,11861,20408,56244,27858,1231,
34174:855,84,518,17,1786,19369,22920,2548,61092,1267,
34179:285,80861,1451,22766,3190,45660,60686,64384,17,302,
34188:58,866,1553,118641,1535,43752,5702,1240,138,285,
34227:58,8,1348,2602,5262,62,650,236,45,10455,
34292:17,302,654,76,616,58,8,866,84,29,
34293:17,302,654,76,616,58,8,866,84,29,
34304:1196,12346,19816,2268,65,9850,17,302,654,76,
34309:13893,7941,37503,38795,98818,5851,18747,1928,83595,79127,
34318:17,302,654,76,616,58,8,866,84,29,
34335:17,302,654,76,616,58,8,866,84,29,
34341:5697,73646,71303,7030,21541,2406,62180,53086,103454,103941,
34347:16299,50090,60217,17,302,654,76,616,58,8,
34350:59062,6412,58623,59437,6061,60726,60760,62012,62630,6264,
34378:1158,68750,953,17,302,654,76,616,58,8,
34398:18059,25510,83265,115980,6690,25306,90254,42438,2223,30257,
34403:18994,3290,103141,53577,2898,93908,68370,39438,21193,102624,
34421:17,302,654,76,616,58,8,866,84,29,
34433:14858,36350,69896,81872,10267,1867,13813,17,302,654,
34468:3516,28402,381,42137,4414,56558,6836,69412,85548,101758,
34470:17,302,654,76,616,58,8,866,84,29,
34492:53757,17,302,654,76,616,58,8,866,84,
34498:88604,3177,23843,114066,117230,96893,74717,78084,14653,25321,
34499:17,302,654,76,616,58,8,866,84,29,
34511:12617,99359,17,302,654,76,616,58,8,866,
34512:17,302,654,76,616,58,8,866,84,29,
34523:17,302,654,76,616,58,8,866,84,29,
34527:42354,76278,98686,17,302,654,76,616,58,8,
34529:15583,62,917,654,788,17,302,654,76,616,
34541:17,302,654,76,616,58,8,866,84,29,
34552:26767,31496,17,302,654,76,616,58,8,866,
34553:2162,1550,888,97334,891,278,3158,22969,64787,1685,
34579:101798,104250,106748,11015,114939,17234,18996,24534,61189,7694,
34594:61348,656,673,69755,70,718,73175,749,7527,76,
34603:17,302,654,76,616,58,8,866,84,29,
34628:107640,116411,116857,37342,43199,48643,5785,58050,64481,65936,
34632:650,564,109903,41751,20830,1318,1220,56665,34634,19912,
34681:669,98703,116968,34904,75264,50871,47616,78759,29456,17,
34697:55410,1690,18907,466,40543,98022,86035,84930,63540,54697,
34698:10046,102996,1116,33263,353,354,4707,2268,2527,39807,
34702:302,76,205,101,289,112800,72974,17,429,301,
34703:17,302,654,76,616,58,8,866,84,29,
34709:6117,6901,8783,8129,2354,2528,26437,2857,4146,4093,
34710:982,87054,53311,12005,10045,101800,83800,3368,3235,224,
34717:17,302,654,76,616,58,8,866,84,29,
34740:1550,1555,354,7932,1476,2626,302,616,654,736,
34741:50023,17,302,654,76,616,58,8,866,84,
34742:97478,90635,89583,84929,84112,72793,6082,5791,56735,49960,
34753:6049,8557,3739,41620,75114,2715,2337,22365,85017,11928,
34794:75115,61636,518,33995,36171,95032,85140,238,40853,4245,
34820:238,37248,38607,17,302,654,76,616,58,8,
34833:717,102019,1030,111974,17,50509,44577,45647,49143,17,
34837:17,302,654,76,616,58,8,866,84,29,
34839:11,17494,70265,84,76514,17,302,654,76,616,
34868:17,302,654,76,616,58,8,866,84,29,
34885:11448,441,3506,11928,5738,2265,69304,1002,2980,840,
34895:17,302,654,76,616,58,8,866,84,29,
34896:14584,40725,44718,17,302,654,76,616,58,8,
34901:1784,347,79364,12165,16669,7418,24854,441,6366,70970,
34906:17,302,654,76,616,58,8,866,84,29,
34917:66419,17,302,654,76,616,58,8,866,84,
34936:112434,34251,90412,17,302,654,76,616,58,8,
34973:80492,687,94458,17,302,654,76,616,58,8,
34974:11842,17,616,654,17,302,654,76,616,58,
34976:17,302,654,76,616,58,8,866,84,29,
34978:88144,47099,34020,6284,51288,285,596,12908,21578,13717,
35005:104068,2680,17,302,654,76,616,58,8,866,
35021:53069,77761,108574,4690,5772,8158,34358,94,29927,68681,
35026:17,302,654,76,616,58,8,866,84,29,
35086:31225,60900,63964,17,302,654,76,616,58,8,
35087:10163,238,398,508,17,302,654,76,616,58,
35092:16166,15184,37265,23467,36088,34554,720,138,47693,36715,
35127:17,302,654,76,616,58,8,866,84,29,
35150:106304,11718,27448,33231,59719,654,17,302,654,76,
35151:20591,86497,17,302,654,76,616,58,8,866,
35166:37773,39668,29532,99712,69113,47327,44004,30977,10519,17865,
35167:9497,55959,2048,35494,61710,71619,80793,1039,20525,4364,
35176:51141,5381,119485,121092,13544,17,26865,294,56776,64197,
35211:105317,106391,1356,1884,27127,2852,35191,38284,40093,46547,
35212:7334,85445,9594,840,1787,5536,5120,9106,1471,37539,
35214:33223,10543,4979,22801,28166,18892,15475,39619,107408,1283,
35229:17,302,654,76,616,58,8,866,84,29,
35231:1499,986,17,302,654,76,616,58,8,866,
35241:441,10536,736,18783,13,802,518,616,8,301,
35244:20710,899,108487,26380,2162,1600,754,6801,48,3750,
35251:5099,50599,50517,5010,5001,49718,49715,49473,49385,4919,
35255:17,302,654,76,616,58,8,866,84,29,
35274:17,302,654,76,616,58,8,866,84,29,
35275:10041,2528,97075,17,302,654,76,616,58,8,
35289:17,302,654,76,616,58,8,866,84,29,
35296:17,302,654,76,616,58,8,866,84,29,
35297:11800,56113,64628,82549,51035,12791,669,2593,17519,72766,
35311:35382,8364,13046,1460,25751,14754,5567,44131,21406,4372,
35332:1578,58,7514,1499,3704,17,302,654,76,616,
35348:3223,17,302,654,76,616,58,8,866,84,
35365:84,76,1102,654,354,58,53145,500,301,327,
35380:17,788,17,302,654,76,616,58,8,866,
35429:17,302,654,76,616,58,8,866,84,29,
35448:11556,18531,99697,7002,11194,55590,27483,116831,2031,88666,
35456:206,4937,70853,87915,58995,726,837,88719,654,1508,
35495:17,1965,85801,4093,14470,4257,39971,13687,4953,5744,
35510:22150,40165,8111,17,302,654,76,616,58,8,
35518:103869,3739,42347,46639,5767,81,17,302,654,76,
35525:17,302,654,76,616,58,8,866,84,29,
35558:8322,23923,13077,16035,4409,17,302,654,76,616,
35572:121607,15522,23589,24139,3117,49596,1106,245,17,302,
35574:117771,58289,4719,8694,15995,17,377,3514,9518,944,
35576:17,302,654,76,616,58,8,866,84,29,
35582:3378,32261,10178,40483,216,7649,64973,68179,40356,22713,
35593:650,5389,35554,486,2414,7841,1511,8582,238,225,
35623:22969,64787,1550,26296,875,899,17,302,654,76,
35676:24437,60766,17,302,654,76,616,58,8,866,
35688:82449,115366,98752,4621,17,302,654,76,616,58,
35690:17,302,654,76,616,58,8,866,84,29,
35691:17,302,654,76,616,58,8,866,84,29,
35730:118117,65972,17,302,654,76,616,58,8,866,
35746:17,302,654,76,616,58,8,866,84,29,
35757:37196,27152,5575,162,787,449,112445,12052,92895,5025,
35771:18645,78240,8,17,1299,1679,5767,736,780,81,
35788:17,302,654,76,616,58,8,866,84,29,
35806:17,58,654,73,10013,113683,650,67195,74608,13807,
35820:17,302,654,76,616,58,8,866,84,29,
35826:17,93318,87948,18,53021,273,6996,62954,60822,483,
35850:52,4813,162,899,48,236,500,104284,4724,262,
35859:8384,17,302,654,76,616,58,8,866,84,
35893:17,302,654,76,616,58,8,866,84,29,
35900:17,568,944,302,925,74753,10264,73499,72270,104155,
35901:17,302,654,76,616,58,8,866,84,29,
35932:3081,1970,546,14992,110918,6303,240,5398,10446,730,
35941:226,111248,899,17,302,654,76,616,58,8,
35969:2153,3599,660,877,105262,11586,15097,15334,29332,14099,
35970:24880,119725,53261,17,302,654,76,616,58,8,
35982:17,302,654,76,616,58,8,866,84,29,
35989:1002,11973,2548,58853,17,302,654,76,616,58,
35990:48724,25365,114114,118607,46606,69899,82590,11015,18996,24660,
35999:2265,55431,17,302,654,76,616,58,8,866,
36064:17,302,654,76,616,58,8,866,84,29,
36123:17,302,654,76,616,58,8,866,84,29,
36135:17,302,654,76,616,58,8,866,84,29,
36176:17,302,654,76,616,58,8,866,84,29,
36179:21601,22689,431,10163,650,13908,1902,22546,89697,859,
36185:3850,2665,15264,14467,14147,3568,39436,1758,24896,23950,
36193:17,302,654,76,616,58,8,866,84,29,
36196:61716,1211,14206,105081,875,2162,51405,100422,6450,52328,
36210:17,302,654,76,616,58,8,866,84,29,
36216:44922,108843,1834,97264,103602,29181,3786,57128,106,24835,
36221:17,302,654,76,616,58,8,866,84,29,
36225:17,302,654,76,616,58,8,866,84,29,
36242:17,302,654,76,616,58,8,866,84,29,
36258:7851,73022,93665,13398,2717,49393,219,2100,17542,16050,
36261:17,302,654,76,616,58,8,866,84,29,
36268:26628,10891,33505,67165,17,302,654,76,616,58,
36313:10689,17,394,6541,92342,93698,17,302,654,76,
36315:59623,8001,23599,17674,98501,8187,75402,48361,3977,39168,
36319:1256,6315,101069,14581,16465,32665,33762,47652,4989,76487,
